iter	Passed	Remaining
0	146	14536
1	161	7898
2	183	5946
3	209	5037
4	228	4333
5	252	3951
6	279	3711
7	304	3498
8	327	3312
9	350	3150
10	364	2952
11	386	2836
12	404	2704
13	429	2635
14	451	2557
15	476	2503
16	504	2462
17	528	2408
18	550	2344
19	573	2293
20	596	2242
21	620	2200
22	643	2154
23	667	2112
24	689	2069
25	716	2038
26	739	1999
27	762	1960
28	785	1921
29	807	1883
30	823	1833
31	847	1801
32	869	1764
33	891	1731
34	920	1709
35	952	1692
36	976	1662
37	1004	1638
38	1037	1622
39	1066	1599
40	1084	1561
41	1099	1518
42	1113	1476
43	1126	1433
44	1138	1391
45	1152	1352
46	1162	1310
47	1178	1276
48	1193	1242
49	1208	1208
50	1226	1178
51	1242	1147
52	1258	1115
53	1274	1085
54	1289	1055
55	1305	1025
56	1320	996
57	1336	967
58	1352	940
59	1367	911
60	1383	884
61	1401	858
62	1417	832
63	1435	807
64	1452	782
65	1471	758
66	1487	732
67	1502	707
68	1532	688
69	1555	666
70	1577	644
71	1593	619
72	1611	596
73	1628	572
74	1644	548
75	1660	524
76	1675	500
77	1691	477
78	1706	453
79	1726	431
80	1745	409
81	1766	387
82	1787	366
83	1806	344
84	1826	322
85	1847	300
86	1867	279
87	1889	257
88	1907	235
89	1926	214
90	1945	192
91	1964	170
92	1984	149
93	2003	127
94	2023	106
95	2042	85
96	2061	63
97	2081	42
98	2107	21
99	2130	0
